sr_no,district,division,code_no,factory_name,type,tcd,crushing_mt,recovery_pct_2425,frp_rate_pmt,actual_price_payable_lakh,avg_ht_pmt_2425,net_frp_pmt,total_net_frp_payable_lakh,total_ht_paid_lakh,total_frp_paid_incl_ht_lakh,total_frp_paid_excl_ht_lakh,arrears_lakh,pct_frp_paid
93,Solapur,,67901.0,"Vitthalrao Shinde SSK Ltd. Unit 2 Karkamb, Tal. Pandharpur, Dist. Solapur",Coop,2500.0,524451.252,10.95,3792.2,19888.24,943.69,2848.51,14939.05,4949.19,20813.84,15864.65,-925.6,100.0
94,Solapur,Solapur,69057.0,"Ashti Sugar Ltd. Ashti. Tal.Mohol, Dist. Solapur",Pvt.,2500.0,397207.245,9.833,3405.72,13527.76,978.48,2427.24,9641.17,3886.59,14602.97,10716.38,-1075.21,100.0
95,Solapur,Solapur,14701.0,"Bhima SSK Ltd. Takali Sikandar, Tal.Mohol, Dist. Solapur",Coop,5000.0,215887.848,8.146,3290.5,7103.79,981.55,2308.95,4984.74,2119.05,4067.1,1948.05,3036.69,39.08
96,Solapur,Solapur,49601.0,"Sahakar Shiromani Vasantrao Kale SSK Ltd. Chandrabhaganagar. Bhalwani, Tal. Pandharpur. District Solapur",Coop,3500.0,241146.591,9.51,3293.96,7943.27,1022.8,2271.16,5476.82,2466.45,7277.01,4810.56,666.26,87.83
97,Solapur,Solapur,68401.0,Sitaram Maharaj Sakhar Karkhana Pvt. Ltd. Khardi.Tal.Pandharpur. Dist. Solapur,Pvt.,5000.0,504830.678,10.027,3472.84,17531.97,1014.05,2458.79,12412.74,5119.24,16672.05,11552.81,859.93,93.07
98,Solapur,Solapur,38601.0,"Dharashiv Sugar Ltd. ( Lease unit of Sangola Taluka SSK Ltd.)Vaki Shivanc, Tal. Sangola, Dist.Solapur",Coop,2500.0,167284.83,8.772,3290.5,5504.51,1088.17,2202.33,3684.16,1820.34,4988.49,3168.15,516.01,85.99
99,Solapur,Solapur,14301.0,"Shri. Shankar SSK Ltd. M.P.O.Sadashivnagar, Tal. Malshiras, Dist. Solapur",Coop,2500.0,254520.0,9.571,3315.07,8437.51,1098.2,2216.87,5642.37,2795.14,8297.65,5502.51,139.86,97.52
100,Solapur,Solapur,68801.0,"Awtadc Sugars ltd. Nadur, Tal. Magalweda, Dist. Solapur",Pvt.,5000.0,408890.97,10.007,3465.92,14171.84,1035.45,2430.47,9937.98,4233.86,11597.04,7363.18,2574.8,74.09
101,Solapur,Solapur,14501.0,"Shri. Vitthal SSK Ltd., Venunagar, Tai Pandharpur, Dist. Solapur",Coop,7500.0,964006.99,10.75,3723.0,35889.98,903.43,2819.57,27180.85,8709.13,30032.19,21323.06,5857.79,78.45
102,Solapur,Solapur,67101.0,Yedeshwari Agro Product Ltd. Unit No -02 Khamgaon Barshi,Pvt.,2500.0,290998.119,9.427,3290.5,9575.29,1095.24,2195.26,6388.17,3187.13,9704.38,6517.25,-129.08,0.0
103,Solapur,Solapur,69025.0,"Kamlabhavani Global corp. (Vitthal Refined Sugars) Ltd. Pandey, Tal. Karmala, Dist. Solapur",Pvt.,5000.0,394234.0,8.32,3290.5,12972.27,894.85,2395.65,9444.47,3527.8,9824.58,6296.78,3147.69,66.67
104,Solapur,Solapur,66401.0,"Shivgiri Agro Sugar Works Pvt.Ltd. (Lease of Bhairavnath Sugar Works Ltd Unit -2) Vihal, Tai Karmala",Pvt.,2500.0,229600.0,9.08,3290.5,7554.99,981.86,2308.64,5300.64,2254.35,5632.12,3377.77,1922.87,63.72
105,Dharashiv,Solapur,46801.0,"Shri.Viuhalsai SSK Ltd. Rajiv Gandhi Nagar. Murum, Tal.Umarga District.Dharashiv",Coop,2500.0,274291.797,10.178,3525.09,9669.03,1099.7,2425.39,6652.64,3016.39,6259.05,3242.66,3409.98,48.74
106,Dharashiv,Solapur,52009.0,"Dr. Babasaheb Ambedkar SSK Ltd. Keshegaon, Dist.Dharashiv",Coop,5000.0,472439.065,10.488,3632.35,17160.63,779.68,2852.67,13477.12,3683.51,12656.24,8972.73,4504.39,66.58
107,Dharashiv,Solapur,52701.0,"Bhairavanath Sugars Pvt. Ltd. ( On Partership basis with Shiva Shakti SSK Ltd.) Vashi, Dist. Dharashiv",Coop,1250.0,174610.0,9.01,3290.5,5745.54,929.25,2361.25,4122.98,1622.56,4321.39,2698.83,1424.15,65.46
108,Dharashiv,Solapur,50701.0,"Natural Sugar and Allied Industries Ltd. Ranjani, Tal.Kalamb, Dist. Dharashiv",Pvt.,5000.0,752941.957,11.64,4030.94,30350.64,887.73,3143.21,23666.55,6684.09,29272.35,22588.26,1078.29,95.44
109,Dharashiv,Solapur,55001.0,"Bhimashankar Sugar Mills Ltd. Pargaon. Tal.Vashi, Dist. Dharashiv",Pvt.,500.0,103020.0,8.74,3290.5,3389.87,784.18,2506.32,2582.01,807.86,2163.36,1355.5,1226.51,52.5
110,Dharashiv,Solapur,60801.0,"Dharashiv Sugar Mills Ltd.. Chorakhli, Tal.. Kalamb, Dist. Dharashiv",Pvt.,2500.0,196581.712,10.706,3707.78,7288.81,1058.45,2649.33,5208.09,2080.72,5978.38,3897.66,1310.43,74.84
111,Dharashiv,Solapur,61701.0,"Bhairavanath Sugar Works Ltd. Sonari, Tal.Paranda, Dist. Dharashiv",Pvt.,7500.0,507906.649,8.564,3290.5,16712.67,950.06,2340.44,11887.25,4825.42,11894.35,7068.93,4818.32,59.47
112,Dharashiv,Solapur,69004.0,"Lokmangal Mauli Industries Ltd. Khcd BK., Tal. Lohara, Dist. Dharashiv",Pvt.,6000.0,644468.884,10.0,3463.5,22321.18,1294.33,2169.17,13979.63,8341.55,18403.65,10062.1,3917.53,71.98
113,Dharashiv,Solapur,69018.0,"Manjra Sugar Ind. Ltc.(Kancheswar Sugar Ltd.)Mangalore, Tal.Tuljapur, Dist. Dharashiv",Pvt.,3500.0,522511.895,11.21,3882.16,20284.75,977.71,2904.45,15176.1,5108.65,19477.73,14369.08,807.02,94.68
114,Dharashiv,Solapur,68101.0,"Quinergy Industries Ltd. ( Lease unit of Bhausaheb Birajdar SSK Ltd.), Samudral, Tal. Umarga, Dist. Dharashiv",Coop,6000.0,534750.0,10.784,3734.76,19971.65,1008.21,2726.55,14580.25,5391.4,17860.1,12468.7,2111.55,85.52
